dataset,celltype,method,partitions,partitions_with_discovery,share_with_discovery,mean_discoveries,mean_rejection_pct
crowell,Astrocytes,DESeq2-pseudobulk,3,0,0.0,0.0,0.0
crowell,Astrocytes,DUET,3,3,1.0,5485.333333333333,54.897251134240726
crowell,Astrocytes,DUET+PB,3,0,0.0,0.0,0.0
crowell,Astrocytes,wilcoxon,3,3,1.0,79.66666666666667,0.7973045102748865
crowell,Excit. Neuron,DESeq2-pseudobulk,3,3,1.0,15.0,0.1361903032504085
crowell,Excit. Neuron,DUET,3,3,1.0,10014.0,90.92064644997276
crowell,Excit. Neuron,DUET+PB,3,3,1.0,15.0,0.1361903032504085
crowell,Excit. Neuron,wilcoxon,3,3,1.0,5319.0,48.29308153259488
crowell,Inhib. Neuron,DESeq2-pseudobulk,3,3,1.0,8.0,0.0736648250460404
crowell,Inhib. Neuron,DUET,3,3,1.0,7603.0,70.00920810313075
crowell,Inhib. Neuron,DUET+PB,3,3,1.0,8.0,0.0736648250460404
crowell,Inhib. Neuron,wilcoxon,3,3,1.0,2071.6666666666665,19.076120319214244
kang,B cells,DESeq2-pseudobulk,35,8,0.2285714285714285,0.3714285714285714,0.0049999706310137
kang,B cells,DUET,35,35,1.0,14.514285714285714,0.1954144145008905
kang,B cells,DUET+PB,35,8,0.2285714285714285,0.3714285714285714,0.0049999706310137
kang,B cells,wilcoxon,35,35,1.0,7.685714285714286,0.103476442099114
kang,CD14+ Monocytes,DESeq2-pseudobulk,35,9,0.2571428571428571,1.0571428571428572,0.0117675172816411
kang,CD14+ Monocytes,DUET,35,35,1.0,709.1142857142858,7.893078333091851
kang,CD14+ Monocytes,DUET+PB,35,9,0.2571428571428571,1.0285714285714285,0.0114495269803453
kang,CD14+ Monocytes,wilcoxon,35,35,1.0,129.14285714285714,1.4374803372992653
kang,CD4 T cells,DESeq2-pseudobulk,35,14,0.4,3.0,0.0295427071058136
kang,CD4 T cells,DUET,35,35,1.0,380.37142857142857,3.745915283165163
kang,CD4 T cells,DUET+PB,35,14,0.4,3.0,0.0295427071058136
kang,CD4 T cells,wilcoxon,35,35,1.0,93.57142857142856,0.9215099264930036
pancreas,Ductal cell,DESeq2-pseudobulk,15,15,1.0,34.333333333333336,0.1645067993595279
pancreas,Ductal cell,DUET,15,15,1.0,10585.2,50.320636786220696
pancreas,Ductal cell,DUET+PB,15,15,1.0,34.333333333333336,0.1645067993595279
pancreas,Ductal cell,wilcoxon,15,15,1.0,4750.266666666666,22.33071411759681
pancreas,Endothelial cell,DESeq2-pseudobulk,15,15,1.0,49.2,0.3315180341516551
pancreas,Endothelial cell,DUET,15,15,1.0,10491.8,71.77445846958521
pancreas,Endothelial cell,DUET+PB,15,15,1.0,49.13333333333333,0.3310584858875988
pancreas,Endothelial cell,wilcoxon,15,15,1.0,2599.333333333333,17.848650926514427
pancreas,Stellate cell,DESeq2-pseudobulk,3,3,1.0,21.666666666666668,0.1305142260506395
pancreas,Stellate cell,DUET,3,3,1.0,12083.333333333334,72.78677991285666
pancreas,Stellate cell,DUET+PB,3,3,1.0,21.666666666666668,0.1305142260506395
pancreas,Stellate cell,wilcoxon,3,3,1.0,3829.0,23.064875609903016
